City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,morant bay,17.88,-76.41,80.6,78,20,9.17,JM,1605495158
247,martapura,-3.42,114.85,87.8,66,99,5.82,ID,1605495158
248,tres arroyos,-38.37,-60.28,46.27,66,0,8.25,AR,1605495159
249,roma,43.21,-75.46,46.0,87,90,9.75,US,1605495159
250,walvis bay,-22.96,14.51,57.0,87,1,11.41,NA,1605495159
251,manicore,-5.81,-61.3,75.69,96,66,2.51,BR,1605495159
252,bonthe,7.53,-12.51,78.69,80,0,3.87,SL,1605495159
253,alyangula,-13.85,136.42,93.2,56,40,11.41,AU,1605495159
254,abu dhabi,24.47,54.37,71.6,78,0,2.24,AE,1605494900
255,sotnikovo,51.88,107.48,21.2,67,40,2.24,RU,1605495159
256,tecoanapa,16.52,-98.75,80.1,81,14,4.52,MX,1605495159
257,bundaberg,-24.85,152.35,86.0,48,40,12.75,AU,1605494877
258,hasaki,35.73,140.83,72.0,59,20,3.36,JP,1605495019
259,buala,-8.14,159.59,85.98,70,90,7.96,SB,1605495160
260,manjacaze,-24.71,33.88,62.47,96,1,0.72,MZ,1605495160
261,broken hill,-31.95,141.43,75.2,25,97,17.22,AU,1605495160
262,prince george,53.92,-122.75,35.6,80,90,13.87,CA,1605495102
263,roseto degli abruzzi,42.67,14.02,48.99,100,0,3.36,IT,1605495160
264,toora-khem,52.47,96.11,21.81,88,100,1.07,RU,1605495160
265,quatre cocos,-20.21,57.76,73.0,60,40,8.05,MU,1605495160
266,haines junction,60.75,-137.51,17.6,67,81,8.05,CA,1605495160
267,voyinka,45.87,33.99,37.36,79,10,4.47,UA,1605495160
268,kattivakkam,13.22,80.32,80.6,94,75,2.24,IN,1605495161
269,port-gentil,-0.72,8.78,79.41,84,100,10.94,GA,1605495161
270,northam,51.03,-4.22,52.0,81,95,10.0,GB,1605495161
271,okhotsk,59.38,143.3,7.99,87,9,17.98,RU,1605495161
272,pasni,25.26,63.47,65.91,35,0,20.83,PK,1605495161
273,byron bay,-28.65,153.62,90.0,74,3,17.22,AU,1605494894
274,mbala,-8.84,31.37,60.57,92,100,3.4,ZM,1605495161
